	author_title	isbn10	isbn13
409	 David Niven.**GO SLOWLY		9780385175616
410	 David Weber.**THE SHADOW OF SAGANAMI		9781618244550
411	 David and Leigh Eddings.**BELGARATH THE SORCERER		9780007217090
412	 David and Leigh Eddings.**POLGARA THE SORCERESS		9780246138446
413	 Dean Koontz.**BROTHER ODD		9781847821232
414	 Dean Koontz.**BY THE LIGHT OF THE MOON		9781876590949
415	 Dean Koontz.**DARK RIVERS OF THE HEART		9788371294624
416	 Dean Koontz.**DRAGON TEARS		9780425140031
417	 Dean Koontz.**FEAR NOTHING		9780708990421
418	 Dean Koontz.**FOREVER ODD		9780007318230
419	 Dean Koontz.**FROM THE CORNER OF HIS EYE		9781472202789
420	 Dean Koontz.**INTENSITY		9780679425250
421	 Dean Koontz.**MR. MURDER		9780743551038
422	 Dean Koontz.**ODD HOURS		9780007267538
423	 Dean Koontz.**ODD THOMAS		9780007130740
424	 Dean Koontz.**ONE DOOR AWAY FROM HEAVEN		9780747270751
425	 Dean Koontz.**SEIZE THE NIGHT		9780307414113
426	 Dean Koontz.**SOLE SURVIVOR		9781299016149
427	 Dean Koontz.**STRANGE HIGHWAYS		9781568952550
428	 Dean Koontz.**THE DARKEST EVENING OF THE YEAR		9781741800579
429	 Dean Koontz.**THE FACE		9788374690249
430	 Dean Koontz.**THE GOOD GUY		9780007252114
431	 Dean Koontz.**THE HUSBAND		9780007251537
432	 Dean Koontz.**VELOCITY		9781299017979
433	 Dean R. Koontz.**HIDEAWAY		9780425203897
434	 Dean R. Koontz.**LIGHTNING		9783453052697
435	 Dean R. Koontz.**MIDNIGHT		9780896219656
436	 Dean R. Koontz.**STRANGERS		9781627153560
437	 Dean R. Koontz.**THE BAD PLACE		9788373373327
438	 Dean R. Koontz.**WATCHERS		9783548253398
439	 Debbie Macomber.**BACK ON BLOSSOM STREET		9781459246676
440	 Debbie Macomber.**CHRISTMAS LETTERS		9781597224680
441	 Debbie Macomber.**SUSANNAH'S GARDEN		9780778328841
442	 Debbie Macomber.**TWENTY WISHES		9781460382080
443	 Debbie Macomber.**WHERE ANGELS GO		9781741165869
444	 Dee Brown.**CREEK MARY'S BLOOD		9780099246800
445	 Deepak Chopra.**BUDDHA		9788483653845
446	 Deepak Chopra.**THE RETURN OF MERLIN		9789580435129
447	 Denis Johnson.**TREE OF SMOKE		9781509829996
448	 Dennis Lehane.**MYSTIC RIVER		9785392100484
449	 Dennis Lehane.**SHUTTER ISLAND		9780688163174
450	 Diana Gabaldon.**DRUMS OF AUTUMN		9780440335177
451	 Diana Gabaldon.**THE FIERY CROSS		9788863804782
452	 Diana Palmer.**LAWMAN		9780373772384
453	 Diane Duane.**SPOCK'S WORLD		9780330312479
454	 Diane Mott Davidson.**DARK TORT		9780061170324
455	 Diane Mott Davidson.**DOUBLE SHOT		9780061157707
456	 Diane Mott Davidson.**SWEET REVENGE		9781456102357
457	 Diane Mott Davidson.**THE GRILLING SEASON		9780307427854
458	 Diane Mott Davidson.**TOUGH COOKIE		9780553578300
